dataset,seed,sample_id,fused_score,p_value
ciciot2023,0,s1026436,0.133458,0.980132
ciciot2023,0,s357648,0.133458,0.980132
ciciot2023,0,s258201,0.133458,0.980132
ciciot2023,0,s971427,1.638413,0.165563
ciciot2023,0,s357455,0.133458,0.980132
ciciot2023,0,s250677,0.133458,0.980132
ciciot2023,0,s1097679,2.711703,0.039735
ciciot2023,0,s411203,0.133458,0.980132
ciciot2023,1,s797658,0.08192,0.993377
ciciot2023,1,s174015,0.08192,0.993377
ciciot2023,1,s1124053,0.434916,0.211921
ciciot2023,1,s41300,0.08192,0.993377
ciciot2023,1,s668065,0.121786,0.311258
ciciot2023,1,s317527,1.441369,0.066225
ciciot2023,1,s519081,0.08192,0.993377
ciciot2023,1,s752059,0.121786,0.311258
ciciot2023,1,s1343219,0.08192,0.993377
ciciot2023,1,s642844,0.08192,0.993377
ciciot2023,1,s1218134,0.08192,0.993377
ciciot2023,1,s386561,2.010802,0.039735
ciciot2023,1,s956028,0.08192,0.993377
ciciot2023,1,s1428040,0.08192,0.993377
ciciot2023,1,s838797,0.08192,0.993377
ciciot2023,1,s973983,0.08192,0.993377
ciciot2023,1,s360031,0.08192,0.993377
ciciot2023,1,s1323774,0.08192,0.993377
ciciot2023,1,s327326,0.08192,0.993377
ciciot2023,1,s1046314,2.010802,0.039735
ciciot2023,1,s980464,0.08192,0.993377
ciciot2023,1,s1469850,2.010802,0.039735
ciciot2023,1,s1009600,0.08192,0.993377
ciciot2023,1,s808759,0.08192,0.993377
ciciot2023,1,s101260,0.434916,0.211921
ciciot2023,1,s837152,1.441369,0.066225
ciciot2023,1,s1003792,0.099265,0.311258
ciciot2023,1,s1001610,0.08192,0.993377
ciciot2023,1,s1273816,0.08192,0.993377
ciciot2023,1,s389261,0.08192,0.993377
ciciot2023,1,s750413,0.632146,0.15894
ciciot2023,1,s935187,0.08192,0.993377
ciciot2023,1,s371972,0.08192,0.993377
ciciot2023,1,s702122,0.08192,0.993377
ciciot2023,1,s1107802,0.08192,0.993377
ciciot2023,1,s1345162,0.121786,0.311258
ciciot2023,1,s1251527,0.08192,0.993377
ciciot2023,1,s1524389,-0.518167,0.993377
ciciot2023,1,s1414225,0.08192,0.993377
ciciot2023,1,s1011833,0.434916,0.211921
ciciot2023,1,s1581175,0.216714,0.245033
ciciot2023,1,s63241,0.08192,0.993377
ciciot2023,1,s1005057,0.08192,0.993377
ciciot2023,1,s1451175,0.241765,0.238411
ciciot2023,1,s623617,0.786146,0.125828
ciciot2023,1,s1437757,0.08192,0.993377
ciciot2023,1,s1381717,0.08192,0.993377
ciciot2023,1,s956265,4.460113,0.006623
ciciot2023,1,s568624,0.121786,0.311258
ciciot2023,1,s1174903,0.16824,0.271523
ciciot2023,1,s1022577,0.121786,0.311258
ciciot2023,1,s352234,0.08192,0.993377
ciciot2023,1,s600960,0.08192,0.993377
ciciot2023,1,s1073367,0.08192,0.993377
ciciot2023,1,s380819,2.142098,0.02649
ciciot2023,1,s949175,0.08192,0.993377
ciciot2023,1,s751100,2.010802,0.039735
ciciot2023,1,s1510534,0.08192,0.993377
ciciot2023,1,s926440,0.08192,0.993377
ciciot2023,1,s1545285,0.08192,0.993377
ciciot2023,2,s1540603,-0.0,1.0
ciciot2023,2,s727962,0.330516,0.284768
ciciot2023,2,s156845,-0.0,1.0
ciciot2023,2,s326735,0.303949,0.284768
ciciot2023,2,s809644,-0.0,1.0
ciciot2023,2,s952856,-0.0,1.0
ciciot2023,2,s1555738,1.924173,0.05298
ciciot2023,2,s538541,-0.0,1.0
ciciot2023,2,s1436496,-0.0,1.0
ciciot2023,2,s656651,-0.0,1.0
ciciot2023,2,s810919,-0.0,1.0
ciciot2023,2,s365928,-0.0,1.0
ciciot2023,2,s1348138,-0.0,1.0
ciciot2023,2,s755175,-0.0,1.0
ciciot2023,2,s1259916,1.924173,0.05298
ciciot2023,2,s571393,-0.0,1.0
ciciot2023,2,s778645,-0.0,1.0
ciciot2023,2,s1352897,0.330516,0.284768
ciciot2023,2,s1080989,-0.0,1.0
ciciot2023,2,s441956,-0.0,1.0
ciciot2023,2,s603548,-0.0,1.0
ciciot2023,2,s501644,-0.0,1.0
ciciot2023,2,s1576794,1.924173,0.05298
ciciot2023,2,s1405408,1.215228,0.125828
ciciot2023,2,s1230626,-0.0,1.0
ciciot2023,2,s203277,-0.0,1.0
ciciot2023,2,s758667,-0.0,1.0
ciciot2023,2,s627517,-0.0,1.0
ciciot2023,2,s1038334,-0.0,1.0
ciciot2023,2,s497708,1.695944,0.059603
ciciot2023,2,s462169,-0.0,1.0
ciciot2023,2,s1520062,-0.0,1.0
ciciot2023,2,s37658,1.803705,0.059603
ciciot2023,2,s25816,-0.0,1.0
ciciot2023,2,s895760,-0.0,1.0
ciciot2023,2,s1194414,-0.0,1.0
ciciot2023,2,s224835,1.215228,0.125828
ciciot2023,2,s892248,0.844051,0.139073
ciciot2023,2,s671809,0.758769,0.15894
ciciot2023,2,s781092,-0.0,1.0
ciciot2023,2,s1160615,0.758769,0.15894
ciciot2023,2,s1446619,-0.0,1.0
ciciot2023,2,s615505,-0.0,1.0
ciciot2023,2,s87209,-0.0,1.0
ciciot2023,2,s901323,-0.0,1.0
ciciot2023,2,s1117020,1.153222,0.125828
ciciot2023,2,s352399,-0.0,1.0
ciciot2023,2,s470724,0.00971,0.344371
ciciot2023,2,s1326131,-0.0,1.0
ciciot2023,2,s361428,-0.0,1.0
ciciot2023,2,s1462701,-0.0,1.0
ciciot2023,2,s725395,-0.0,1.0
ciciot2023,2,s612062,-0.0,1.0
ciciot2023,2,s969184,-0.0,1.0
ciciot2023,2,s242226,-0.0,1.0
ciciot2023,2,s451828,-0.0,1.0
ciciot2023,2,s267699,1.803705,0.059603
ciciot2023,2,s200748,1.695944,0.059603
ciciot2023,2,s351477,-0.0,1.0
ciciot2023,2,s716009,-0.0,1.0
ciciot2023,3,s926738,0.895615,0.15894
ciciot2023,3,s1000144,-0.0,0.980132
ciciot2023,3,s744808,-0.0,0.980132
ciciot2023,3,s663212,-0.0,0.980132
ciciot2023,3,s55230,-0.0,0.980132
ciciot2023,3,s980185,-0.0,0.980132
ciciot2023,3,s1207534,0.621866,0.258278
ciciot2023,3,s703854,-0.0,0.980132
ciciot2023,3,s869007,-0.0,0.980132
ciciot2023,3,s477610,-0.0,0.980132
ciciot2023,3,s813726,2.927813,0.006623
ciciot2023,3,s811843,0.105007,0.350993
ciciot2023,3,s727463,-0.0,0.980132
ciciot2023,3,s1456287,-0.0,0.980132
ciciot2023,3,s791140,0.083473,0.364238
ciciot2023,3,s743932,0.105007,0.350993
ciciot2023,3,s1373949,1.538591,0.072848
ciciot2023,3,s1127015,-0.0,0.980132
ciciot2023,3,s1445388,-0.0,0.980132
ciciot2023,3,s1131485,-0.0,0.980132
ciciot2023,3,s742988,-0.0,0.980132
ciciot2023,3,s1444005,-0.0,0.980132
ciciot2023,3,s479897,0.06235,0.390728
ciciot2023,3,s949628,-0.0,0.980132
ciciot2023,3,s69746,-0.0,0.980132
ciciot2023,3,s361181,0.895615,0.15894
ciciot2023,3,s1512084,-0.0,0.980132
ciciot2023,3,s470661,-0.0,0.980132
ciciot2023,3,s731003,0.021274,0.403974
ciciot2023,3,s1078524,-0.0,0.980132
ciciot2023,3,s841207,-0.0,0.980132
ciciot2023,3,s295671,-0.0,0.980132
ciciot2023,3,s530377,-0.246157,0.980132
ciciot2023,3,s339307,0.769942,0.231788
ciciot2023,3,s1230330,-0.0,0.980132
ciciot2023,3,s368242,-0.0,0.980132
ciciot2023,3,s819796,0.810271,0.178808
ciciot2023,3,s173625,-0.0,0.980132
ciciot2023,3,s543106,-0.0,0.980132
ciciot2023,3,s1283067,0.105007,0.350993
ciciot2023,3,s952421,0.769942,0.231788
ciciot2023,3,s39604,-0.0,0.980132
ciciot2023,3,s1570997,-0.0,0.980132
ciciot2023,3,s895138,0.769942,0.231788
ciciot2023,3,s632635,0.940884,0.119205
ciciot2023,3,s281126,1.088961,0.092715
ciciot2023,3,s141761,-0.0,0.980132
ciciot2023,3,s1172148,0.769942,0.231788
ciciot2023,3,s1006728,-0.0,0.980132
ciciot2023,3,s54011,-0.0,0.980132
ciciot2023,3,s908990,-0.0,0.980132
ciciot2023,3,s196624,0.172235,0.337748
ciciot2023,3,s830402,-0.0,0.980132
ciciot2023,3,s7721,-0.0,0.980132
ciciot2023,3,s233488,-0.0,0.980132
ciciot2023,3,s1583001,-0.0,0.980132
ciciot2023,3,s868336,-0.0,0.980132
ciciot2023,3,s1580772,-0.0,0.980132
ciciot2023,3,s1485435,1.806022,0.059603
ciciot2023,3,s1229695,-0.180907,0.980132
ciciot2023,4,s875106,0.081923,0.993377
ciciot2023,4,s1092547,0.081923,0.993377
ciciot2023,4,s634962,0.45746,0.264901
ciciot2023,4,s250954,2.282532,0.066225
ciciot2023,4,s1532301,2.103278,0.07947
ciciot2023,4,s102778,0.23807,0.357616
ciciot2023,4,s732974,0.081923,0.993377
ciciot2023,4,s89527,0.081923,0.993377
ciciot2023,4,s430389,0.081923,0.993377
ciciot2023,4,s429960,0.081923,0.993377
ciciot2023,4,s973589,0.23807,0.357616
ciciot2023,4,s1428664,0.341659,0.304636
ciciot2023,4,s487072,3.183409,0.066225
ciciot2023,4,s1512846,0.081923,0.993377
ciciot2023,4,s730882,0.341659,0.304636
ciciot2023,4,s1499761,0.081923,0.993377
ciciot2023,4,s1176941,0.081923,0.993377
ciciot2023,4,s1246375,0.081923,0.993377
ciciot2023,4,s996109,0.081923,0.993377
ciciot2023,4,s1074685,0.624501,0.205298
ciciot2023,4,s1393355,0.081923,0.993377
ciciot2023,4,s884180,0.341659,0.304636
ciciot2023,4,s16143,0.45746,0.264901
ciciot2023,4,s1413949,0.081923,0.993377
ciciot2023,4,s741904,0.081923,0.993377
ciciot2023,4,s364352,1.601045,0.13245
ciciot2023,4,s333792,0.314721,0.324503
ciciot2023,4,s1321716,0.144364,0.384106
ciciot2023,4,s291065,0.520913,0.211921
ciciot2023,4,s1559841,0.081923,0.993377
ciciot2023,4,s682620,0.081923,0.993377
ciciot2023,4,s359426,0.081923,0.993377
ciciot2023,4,s765677,0.081923,0.993377
ciciot2023,4,s1392849,0.081923,0.993377
ciciot2023,4,s585526,0.144364,0.384106
ciciot2023,4,s407683,0.081923,0.993377
ciciot2023,4,s352868,0.624501,0.205298
ciciot2023,4,s193363,0.081923,0.993377
ciciot2023,4,s801545,0.081923,0.993377
ciciot2023,4,s765346,0.081923,0.993377
ciciot2023,4,s83212,0.624501,0.205298
ciciot2023,4,s825282,0.081923,0.993377
ciciot2023,4,s1034487,0.081923,0.993377
ciciot2023,4,s1319949,1.079343,0.152318
ciciot2023,4,s642420,0.341659,0.304636
ciciot2023,4,s822177,0.081923,0.993377
ciciot2023,4,s319702,0.081923,0.993377
ciciot2023,4,s408814,0.488675,0.238411
ciciot2023,4,s844428,0.081923,0.993377
ciciot2023,4,s1354840,3.183409,0.066225
ciciot2023,4,s80552,0.081923,0.993377
ciciot2023,4,s343064,0.081923,0.993377
ciciot2023,4,s85879,0.081923,0.993377
ciciot2023,4,s89021,0.45746,0.264901
ciciot2023,4,s850150,0.081923,0.993377
ciciot2023,4,s17603,0.081923,0.993377
ciciot2023,4,s528825,0.081923,0.993377
ciciot2023,4,s524636,0.782147,0.18543
ciciot2023,4,s145870,0.488675,0.238411
ciciot2023,4,s189305,0.314721,0.324503
