dataset,seed,sample_id,fused_score,p_value
ciciomt2024,4,s711716,1.802818,0.033113
ciciomt2024,4,s754455,-0.264778,0.84106
ciciomt2024,4,s226205,0.518207,0.675497
ciciomt2024,4,s759528,0.518207,0.675497
ciciomt2024,4,s217079,-0.550384,0.86755
ciciomt2024,4,s303962,0.518207,0.675497
ciciomt2024,4,s730815,0.518207,0.675497
ciciomt2024,4,s688931,0.518207,0.675497
ciciomt2024,4,s702432,0.518207,0.675497
ciciomt2024,4,s217416,0.641782,0.165563
ciciomt2024,4,s635799,0.290763,0.748344
ciciomt2024,4,s206860,-0.934271,0.980132
ciciomt2024,4,s264817,0.015139,0.81457
ciciomt2024,4,s264662,-0.454456,0.854305
ciciomt2024,4,s609215,0.518207,0.675497
ciciomt2024,4,s204994,0.609202,0.165563
ciciomt2024,4,s760353,0.406195,0.701987
ciciomt2024,4,s197865,0.518207,0.675497
ciciomt2024,4,s176478,-0.170913,0.834437
ciciomt2024,4,s597225,0.518207,0.675497
ciciomt2024,4,s295506,-0.454456,0.854305
ciciomt2024,4,s667502,0.518207,0.675497
ciciomt2024,4,s647343,0.236791,0.748344
ciciomt2024,4,s684665,-0.305108,0.84106
ciciomt2024,4,s168146,0.641782,0.165563
ciciomt2024,4,s166087,4.165713,0.006623
ciciomt2024,4,s661357,0.82228,0.13245
ciciomt2024,4,s734783,0.577624,0.178808
ciciomt2024,4,s647696,0.904419,0.119205
ciciomt2024,4,s273336,0.518207,0.675497
ciciomt2024,4,s168724,0.015139,0.81457
ciciomt2024,4,s165941,-0.393301,0.847682
ciciomt2024,4,s631498,0.406195,0.701987
ciciomt2024,4,s305681,-0.619872,0.907285
ciciomt2024,4,s309059,0.518207,0.675497
ciciomt2024,4,s296933,-0.934271,0.980132
ciciomt2024,4,s665552,0.354874,0.721854
ciciomt2024,4,s603822,0.107426,0.781457
ciciomt2024,4,s290895,0.517242,0.675497
